,State,Year,Quarter,District,Count,Amount
225,Andhra Pradesh,2020,4,ysr district,15676878,42572974713.44026
226,Andhra Pradesh,2020,4,west godavari district,15674762,40310975762.603455
227,Andhra Pradesh,2020,4,kurnool district,18737323,44718203115.22612
228,Andhra Pradesh,2020,4,chittoor district,29590411,61505711149.79541
229,Andhra Pradesh,2020,4,guntur district,26136538,60641872021.25432
230,Andhra Pradesh,2020,4,krishna district,27981050,64461504667.60723
231,Andhra Pradesh,2021,1,east godavari district,26190701,60027984987.96951
232,Andhra Pradesh,2021,1,srikakulam district,11160473,26486623313.092724
233,Andhra Pradesh,2021,1,spsr nellore district,22541428,52210333201.53073
234,Andhra Pradesh,2021,1,vizianagaram district,10514582,24153782497.243248
235,Andhra Pradesh,2021,1,visakhapatnam district,48248923,95308386037.84721
236,Andhra Pradesh,2021,1,prakasam district,15175395,41396223622.174774
237,Andhra Pradesh,2021,1,anantapur district,20102957,48353870395.01808
238,Andhra Pradesh,2021,1,ysr district,15374473,42570919448.50447
239,Andhra Pradesh,2021,1,west godavari district,16015685,42124030669.36126
240,Andhra Pradesh,2021,1,kurnool district,17918524,44941629659.56964
241,Andhra Pradesh,2021,1,chittoor district,29342609,60947491846.66089
242,Andhra Pradesh,2021,1,guntur district,27445045,64207987853.108406
243,Andhra Pradesh,2021,1,krishna district,29717175,69715406644.53485
244,Andhra Pradesh,2021,2,east godavari district,31717908,74604325863.66068
245,Andhra Pradesh,2021,2,srikakulam district,13546232,32298129544.540867
246,Andhra Pradesh,2021,2,spsr nellore district,30290406,72283071757.09679
247,Andhra Pradesh,2021,2,vizianagaram district,12689494,29140685236.830723
248,Andhra Pradesh,2021,2,visakhapatnam district,54390299,114439012713.35336
249,Andhra Pradesh,2021,2,prakasam district,19944047,54535328043.04135
250,Andhra Pradesh,2021,2,anantapur district,25123346,60987487571.279915
251,Andhra Pradesh,2021,2,ysr district,18457361,52523527031.02132
252,Andhra Pradesh,2021,2,west godavari district,20950964,57233116236.18796
253,Andhra Pradesh,2021,2,kurnool district,21972396,56659287474.995804
254,Andhra Pradesh,2021,2,chittoor district,34344902,73654690122.43158
255,Andhra Pradesh,2021,2,guntur district,32968819,82356914463.83287
256,Andhra Pradesh,2021,2,krishna district,36370960,90021923049.96454
257,Andhra Pradesh,2021,3,east godavari district,39572714,89380370072.7078
258,Andhra Pradesh,2021,3,srikakulam district,15639768,34836400769.876816
259,Andhra Pradesh,2021,3,spsr nellore district,34411958,77839676988.30869
260,Andhra Pradesh,2021,3,vizianagaram district,14510005,31383541628.212524
261,Andhra Pradesh,2021,3,visakhapatnam district,69220981,136945652159.26515
262,Andhra Pradesh,2021,3,prakasam district,24116580,63367713446.928055
263,Andhra Pradesh,2021,3,anantapur district,30366444,70291248155.64975
264,Andhra Pradesh,2021,3,ysr district,22439316,60683557724.652336
265,Andhra Pradesh,2021,3,west godavari district,26245039,66647238455.1675
266,Andhra Pradesh,2021,3,kurnool district,26377809,62527453761.59807
267,Andhra Pradesh,2021,3,chittoor district,42628568,89371931753.04831
268,Andhra Pradesh,2021,3,guntur district,41675093,96525353090.12305
269,Andhra Pradesh,2021,3,krishna district,44828275,104417897558.58972
270,Andhra Pradesh,2021,4,east godavari district,48992531,106725597026.00356
271,Andhra Pradesh,2021,4,srikakulam district,18501857,39713657870.15512
272,Andhra Pradesh,2021,4,spsr nellore district,41921081,92256405076.26547
273,Andhra Pradesh,2021,4,vizianagaram district,17253059,36577529464.9687
274,Andhra Pradesh,2021,4,visakhapatnam district,82711538,159530099772.73474
275,Andhra Pradesh,2021,4,prakasam district,27858275,71323060008.47623
276,Andhra Pradesh,2021,4,anantapur district,36129136,81239787006.64764
277,Andhra Pradesh,2021,4,ysr district,26340348,69081850069.2033
278,Andhra Pradesh,2021,4,west godavari district,33235175,81292461575.08182
279,Andhra Pradesh,2021,4,kurnool district,31782248,73968947669.64754
280,Andhra Pradesh,2021,4,chittoor district,51119640,103985734663.73514
281,Andhra Pradesh,2021,4,guntur district,50919286,115553993673.17337
282,Andhra Pradesh,2021,4,krishna district,55489829,125015323207.89836
283,Andhra Pradesh,2022,1,east godavari district,54738830,121067103712.79568
284,Andhra Pradesh,2022,1,srikakulam district,20990782,46898912115.649216
285,Andhra Pradesh,2022,1,spsr nellore district,47645702,104895571602.13988
286,Andhra Pradesh,2022,1,vizianagaram district,19278262,41994853361.58879
287,Andhra Pradesh,2022,1,visakhapatnam district,88233362,170120350591.26004
288,Andhra Pradesh,2022,1,prakasam district,31340975,79494373254.71565
289,Andhra Pradesh,2022,1,anantapur district,40613148,90197023268.43825
290,Andhra Pradesh,2022,1,ysr district,29783739,78421693518.90942
291,Andhra Pradesh,2022,1,west godavari district,37271259,92397939903.60938
292,Andhra Pradesh,2022,1,kurnool district,35093633,81568420500.54749
293,Andhra Pradesh,2022,1,chittoor district,58561024,117900595508.634
294,Andhra Pradesh,2022,1,guntur district,57226996,129673727687.08942
295,Andhra Pradesh,2022,1,krishna district,61826199,139690081529.49048
296,Andhra Pradesh,2022,2,east godavari district,62072845,135531452997.6391
297,Andhra Pradesh,2022,2,srikakulam district,23727353,53754764122.4327
298,Andhra Pradesh,2022,2,spsr nellore district,54838708,121941082043.49483
299,Andhra Pradesh,2022,2,vizianagaram district,21766135,47294745020.495636
300,Andhra Pradesh,2022,2,visakhapatnam district,101387402,193242841582.14285
301,Andhra Pradesh,2022,2,prakasam district,36163507,90435082545.97766
302,Andhra Pradesh,2022,2,anantapur district,46099366,102138758015.76915
303,Andhra Pradesh,2022,2,ysr district,33154559,87601310069.59737
304,Andhra Pradesh,2022,2,west godavari district,44409239,107973244960.42824
305,Andhra Pradesh,2022,2,kurnool district,40165692,92409350855.50198
306,Andhra Pradesh,2022,2,chittoor district,67507661,136435445124.75616
307,Andhra Pradesh,2022,2,guntur district,66315749,147098141568.7623
308,Andhra Pradesh,2022,2,krishna district,73525814,163997729295.93134
309,Andhra Pradesh,2022,3,east godavari district,61467134,129677722169.74829
310,Andhra Pradesh,2022,3,srikakulam district,22126541,46899962921.785614
311,Andhra Pradesh,2022,3,spsr nellore district,42116582,95099325968.25972
312,Andhra Pradesh,2022,3,vizianagaram district,20440645,42513313394.84207
313,Andhra Pradesh,2022,3,visakhapatnam district,97434546,181124419863.61444
314,Andhra Pradesh,2022,3,prakasam district,35376080,87475230073.46387
315,Andhra Pradesh,2022,3,anantapur district,45165363,97735649608.10074
316,Andhra Pradesh,2022,3,ysr district,33119038,86016932181.12372
317,Andhra Pradesh,2022,3,west godavari district,43635951,101706854744.31876
318,Andhra Pradesh,2022,3,kurnool district,39557913,88415335176.31995
319,Andhra Pradesh,2022,3,chittoor district,65751781,133053581631.6395
320,Andhra Pradesh,2022,3,guntur district,65612317,141588522953.23773
321,Andhra Pradesh,2022,3,krishna district,71051144,153770559025.69125
322,Andhra Pradesh,2022,4,east godavari district,68016055,136531110139.86256
323,Andhra Pradesh,2022,4,srikakulam district,23693779,47726411107.88628
324,Andhra Pradesh,2022,4,spsr nellore district,42582064,92085916180.6851
325,Andhra Pradesh,2022,4,vizianagaram district,22205190,44467386404.34758
326,Andhra Pradesh,2022,4,visakhapatnam district,103790055,185306149744.73108
327,Andhra Pradesh,2022,4,prakasam district,37211077,88105031866.36835
328,Andhra Pradesh,2022,4,anantapur district,48299601,101533878537.23433
329,Andhra Pradesh,2022,4,ysr district,35201596,87360426792.81667
330,Andhra Pradesh,2022,4,west godavari district,47919930,105335724990.59325
331,Andhra Pradesh,2022,4,kurnool district,43524766,94667441029.08345
332,Andhra Pradesh,2022,4,chittoor district,70322534,136840859888.18155
333,Andhra Pradesh,2022,4,guntur district,70723763,146938735166.52365
334,Andhra Pradesh,2022,4,krishna district,76526667,157826011193.35443
335,Andhra Pradesh,2023,1,east godavari district,115196449,223454724672.0
336,Andhra Pradesh,2023,1,srikakulam district,42209999,86486032409.0
337,Andhra Pradesh,2023,1,spsr nellore district,71318689,143967164643.0
338,Andhra Pradesh,2023,1,vizianagaram district,38838861,76472384525.0
339,Andhra Pradesh,2023,1,visakhapatnam district,164358781,277211090180.0
340,Andhra Pradesh,2023,1,prakasam district,63671149,141672839638.0
341,Andhra Pradesh,2023,1,anantapur district,82127373,162287796625.0
342,Andhra Pradesh,2023,1,ysr district,59768512,140117633668.0
343,Andhra Pradesh,2023,1,west godavari district,79094558,165941144654.0
344,Andhra Pradesh,2023,1,kurnool district,72405172,149100361797.0
345,Andhra Pradesh,2023,1,chittoor district,120192355,218037027226.0
346,Andhra Pradesh,2023,1,guntur district,114246185,226244225817.0
347,Andhra Pradesh,2023,1,krishna district,122104381,238058890676.0
348,Andhra Pradesh,2023,2,east godavari district,131243375,245134717109.0
349,Andhra Pradesh,2023,2,srikakulam district,47633204,93082175904.0
350,Andhra Pradesh,2023,2,spsr nellore district,82056071,165181391414.0
351,Andhra Pradesh,2023,2,vizianagaram district,43625851,82671020353.0
352,Andhra Pradesh,2023,2,visakhapatnam district,184918179,303874597259.0
353,Andhra Pradesh,2023,2,prakasam district,73598725,158428689659.0
354,Andhra Pradesh,2023,2,anantapur district,91695174,180050369328.0
355,Andhra Pradesh,2023,2,ysr district,66809788,156231915019.0
356,Andhra Pradesh,2023,2,west godavari district,92533269,187699526244.0
357,Andhra Pradesh,2023,2,kurnool district,81475907,166991990104.0
358,Andhra Pradesh,2023,2,chittoor district,136283483,245550525910.0
359,Andhra Pradesh,2023,2,guntur district,132035450,254140764680.0
360,Andhra Pradesh,2023,2,krishna district,141748488,267001403933.0
361,Andhra Pradesh,2023,3,east godavari district,148701666,260414286361.0
362,Andhra Pradesh,2023,3,srikakulam district,51382393,91818203167.0
363,Andhra Pradesh,2023,3,spsr nellore district,93875073,176593750929.0
364,Andhra Pradesh,2023,3,vizianagaram district,47856766,83289704541.0
365,Andhra Pradesh,2023,3,visakhapatnam district,209884966,328927220951.0
366,Andhra Pradesh,2023,3,prakasam district,84447202,171207298619.0
367,Andhra Pradesh,2023,3,anantapur district,104539628,192477441164.0
368,Andhra Pradesh,2023,3,ysr district,76091693,168218516193.0
369,Andhra Pradesh,2023,3,west godavari district,102962058,191891823401.0
370,Andhra Pradesh,2023,3,kurnool district,92890445,172979053545.0
371,Andhra Pradesh,2023,3,chittoor district,152863845,265404757144.0
372,Andhra Pradesh,2023,3,guntur district,150246761,270651818044.0
373,Andhra Pradesh,2023,3,krishna district,159421907,279540224039.0
374,Andhra Pradesh,2023,4,east godavari district,162793144,282329255747.0
375,Andhra Pradesh,2023,4,srikakulam district,56291337,97021746702.0
376,Andhra Pradesh,2023,4,spsr nellore district,97721962,179306028468.0
377,Andhra Pradesh,2023,4,vizianagaram district,53248760,90289502507.0
378,Andhra Pradesh,2023,4,visakhapatnam district,223584765,344512874812.0
379,Andhra Pradesh,2023,4,prakasam district,89721677,174929737360.0
380,Andhra Pradesh,2023,4,anantapur district,113698752,203367177888.0
381,Andhra Pradesh,2023,4,ysr district,83729195,176644897379.0
382,Andhra Pradesh,2023,4,west godavari district,114825704,209237892746.0
383,Andhra Pradesh,2023,4,kurnool district,103816175,190597527675.0
384,Andhra Pradesh,2023,4,chittoor district,163521593,274132458092.0
385,Andhra Pradesh,2023,4,guntur district,160724947,281806839570.0
386,Andhra Pradesh,2023,4,krishna district,173309415,298339038877.0
387,Andhra Pradesh,2024,1,east godavari district,179489444,306324309402.0
388,Andhra Pradesh,2024,1,srikakulam district,66267698,118669200655.0
389,Andhra Pradesh,2024,1,spsr nellore district,108549115,190803645040.0
390,Andhra Pradesh,2024,1,vizianagaram district,61170983,105672797741.0
391,Andhra Pradesh,2024,1,visakhapatnam district,238418938,363341573689.0
392,Andhra Pradesh,2024,1,prakasam district,99550457,187480623851.0
